                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1596,                 2.9702,                 1.4253,                 0.0065,                      1,                0.98841,                0.78072,                0.69865,                 3.0448,                0.97086,             0.00031673,             0.00031673,             0.00031673
                      2,                0.73404,                 1.5467,                 1.0161,                      1,                0.48983,                0.77047,                0.59195,                 0.7278,                  3.006,                 1.0099,             0.00062868,             0.00062868,             0.00062868
                      3,                0.69387,                  1.206,                0.97151,                0.93217,                0.56098,                0.80573,                0.65056,                0.69107,                 2.6365,                0.97295,             0.00091862,             0.00091862,             0.00091862
                      4,                0.66069,                 1.1391,                0.97758,                0.99502,                    0.5,                0.61799,                 0.4974,                0.70059,                 2.7621,                0.95755,              0.0011866,              0.0011866,              0.0011866
                      5,                 0.6828,                  1.042,                0.99336,                0.98419,                0.71951,                 0.9519,                 0.7843,                0.66193,                 2.5577,                 0.9418,              0.0014325,              0.0014325,              0.0014325
                      6,                0.68286,                0.98147,                0.98307,                      1,                0.52363,                0.66454,                0.52266,                0.75324,                 3.5058,                 1.0157,              0.0013919,              0.0013919,              0.0013919
                      7,                0.65033,                 0.8797,                0.96722,                0.96033,                0.88572,                0.98452,                0.82063,                0.62209,                 1.7156,                0.93206,              0.0013369,              0.0013369,              0.0013369
                      8,                0.57352,                0.79269,                0.93328,                0.94296,                 0.8065,                0.96833,                 0.7688,                0.65207,                 2.6956,                  1.011,              0.0012819,              0.0012819,              0.0012819
                      9,                0.56198,                0.80049,                  0.914,                0.99337,                0.65854,                0.82354,                0.69395,                0.54019,                 1.9508,                0.90329,              0.0012269,              0.0012269,              0.0012269
                     10,                 0.5441,                0.72288,                 0.9292,                0.95635,                0.79268,                0.93698,                0.79468,                0.56587,                 1.6201,                0.88503,              0.0011719,              0.0011719,              0.0011719
                     11,                0.54691,                0.68235,                 0.9103,                0.99793,                    0.5,                0.57544,                0.50058,                0.55842,                  2.809,                0.89757,              0.0011169,              0.0011169,              0.0011169
                     12,                0.55312,                0.65092,                0.93088,                      1,                0.53072,                0.73186,                 0.6514,                0.47299,                 2.5389,                0.85236,              0.0010619,              0.0010619,              0.0010619
                     13,                0.52413,                0.60966,                0.92612,                0.97361,                 0.5122,                0.76839,                0.67796,                 0.4808,                 2.1063,                0.86209,              0.0010069,              0.0010069,              0.0010069
                     14,                0.47332,                0.55284,                0.89674,                0.97674,                0.51207,                0.89516,                0.82979,                0.39725,                 2.1435,                0.83855,             0.00095186,             0.00095186,             0.00095186
                     15,                0.49844,                 0.5643,                0.90823,                0.97709,                    0.5,                0.88588,                0.78184,                0.48599,                 2.5144,                0.86375,             0.00089685,             0.00089685,             0.00089685
                     16,                0.50449,                0.54314,                0.91778,                0.99838,                    0.5,                0.86772,                0.77443,                0.46723,                 2.3621,                0.86457,             0.00084184,             0.00084184,             0.00084184
                     17,                0.46686,                0.52169,                0.90504,                      1,                0.52426,                0.94642,                0.86406,                0.42959,                 2.0892,                0.84097,             0.00078682,             0.00078682,             0.00078682
                     18,                0.42932,                0.49238,                  0.883,                0.99871,                    0.5,                0.59167,                0.53539,                0.42371,                 2.6952,                0.84307,             0.00073181,             0.00073181,             0.00073181
                     19,                0.44583,                0.48421,                0.87878,                      1,                0.69403,                0.84884,                0.74911,                0.46047,                  1.754,                0.88164,              0.0006768,              0.0006768,              0.0006768
                     20,                0.46623,                0.47555,                0.90494,                      1,                0.53781,                 0.9118,                0.80771,                0.46948,                 2.2199,                0.86165,             0.00062179,             0.00062179,             0.00062179
                     21,                 0.3845,                0.48756,                0.83432,                      1,                0.51192,                0.74294,                0.68122,                0.41362,                 2.3037,                0.85021,             0.00056678,             0.00056678,             0.00056678
                     22,                0.37216,                0.47127,                0.83692,                      1,                0.52156,                0.90291,                0.83313,                0.37917,                 2.2212,                0.83011,             0.00051177,             0.00051177,             0.00051177
                     23,                0.34729,                0.44062,                0.81837,                      1,                0.51741,                0.95858,                0.90525,                0.35932,                 2.3157,                 0.8198,             0.00045676,             0.00045676,             0.00045676
                     24,                0.33147,                 0.4135,                0.80805,                      1,                0.51814,                0.98117,                0.92014,                0.38823,                 2.2262,                0.82838,             0.00040175,             0.00040175,             0.00040175
                     25,                0.32902,                0.40116,                0.81763,                      1,                0.51619,                0.95067,                0.89261,                0.36609,                 2.1767,                0.82016,             0.00034674,             0.00034674,             0.00034674
                     26,                0.31817,                0.38693,                0.80918,                      1,                0.51607,                0.93833,                0.88555,                0.33826,                 2.2263,                0.81227,             0.00029172,             0.00029172,             0.00029172
                     27,                0.31173,                0.37011,                 0.8177,                      1,                0.51215,                0.92635,                0.87505,                0.33566,                 2.3285,                0.81015,             0.00023671,             0.00023671,             0.00023671
                     28,                0.29685,                0.35916,                0.81789,                      1,                0.51196,                0.92677,                0.88247,                0.31785,                 2.3129,                0.80995,              0.0001817,              0.0001817,              0.0001817
                     29,                0.27454,                0.34351,                0.79909,                      1,                0.51176,                0.94977,                0.90871,                0.32315,                 2.3199,                0.81574,             0.00012669,             0.00012669,             0.00012669
                     30,                0.27487,                0.33744,                0.79395,                0.97714,                    0.5,                0.95316,                0.90758,                0.30582,                 2.3738,                0.80725,             7.1681e-05,             7.1681e-05,             7.1681e-05
