                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1659,                 2.6871,                 1.3998,                      1,                0.16979,                 0.9151,                0.64359,                 1.0381,                 3.2289,                 1.1382,              0.0003334,              0.0003334,              0.0003334
                      2,                0.71733,                 1.2117,                0.99224,                0.96202,                0.94937,                0.98016,                0.75698,                0.88092,                 2.1298,                 1.1031,             0.00066092,             0.00066092,             0.00066092
                      3,                0.70759,                 1.0604,                0.98633,                      1,                0.73156,                0.89745,                0.74257,                0.79192,                  2.298,                 1.1132,             0.00096533,             0.00096533,             0.00096533
                      4,                0.65468,                0.97891,                0.95967,                0.91797,                0.91139,                0.91576,                0.74488,                0.75947,                 1.7149,                 1.0719,              0.0012466,              0.0012466,              0.0012466
                      5,                0.71553,                0.99328,                0.99747,                0.94881,                      1,                0.97938,                0.80005,                0.70054,                  1.121,                0.98244,               0.001447,               0.001447,               0.001447
                      6,                0.65967,                0.87119,                0.96095,                0.96327,                0.99589,                0.98754,                 0.8328,                0.61711,                 1.0674,                0.97563,              0.0013919,              0.0013919,              0.0013919
                      7,                0.65001,                0.77602,                0.95241,                0.95176,                0.99905,                 0.9855,                0.86438,                0.54378,                0.84208,                0.91374,              0.0013369,              0.0013369,              0.0013369
                      8,                0.64728,                0.77191,                0.96466,                0.97138,                0.98734,                0.99134,                0.86383,                0.56734,                0.77367,                0.89761,              0.0012819,              0.0012819,              0.0012819
                      9,                0.59624,                0.71757,                0.93507,                0.95172,                0.99814,                0.98147,                0.83654,                0.60969,                0.76256,                0.92587,              0.0012269,              0.0012269,              0.0012269
                     10,                0.53612,                0.61797,                 0.9169,                0.95172,                 0.9982,                0.98992,                0.84908,                0.54749,                0.69023,                0.88717,              0.0011719,              0.0011719,              0.0011719
                     11,                0.54417,                0.61057,                0.91219,                0.95083,                      1,                0.98739,                0.89587,                0.46265,                0.63582,                0.86769,              0.0011169,              0.0011169,              0.0011169
                     12,                0.53368,                0.58294,                0.92009,                0.96274,                0.98734,                0.99439,                0.89633,                0.46081,                0.60283,                0.86289,              0.0010619,              0.0010619,              0.0010619
                     13,                0.52273,                0.55075,                0.90776,                0.95135,                      1,                0.98967,                0.88334,                0.49397,                0.58725,                0.86652,              0.0010069,              0.0010069,              0.0010069
                     14,                0.53427,                 0.5499,                0.92418,                0.95105,                      1,                0.98705,                 0.8997,                0.45149,                0.51439,                0.85896,             0.00095186,             0.00095186,             0.00095186
                     15,                0.49046,                0.48247,                0.88287,                0.95518,                0.98734,                0.99052,                0.88473,                0.50864,                0.54127,                0.90919,             0.00089685,             0.00089685,             0.00089685
                     16,                0.48428,                0.46649,                0.90074,                0.95177,                0.99919,                0.99223,                0.91804,                0.46435,                  0.476,                0.86856,             0.00084184,             0.00084184,             0.00084184
                     17,                0.49669,                0.47952,                0.89998,                0.95176,                0.99899,                0.99273,                0.91721,                0.43319,                  0.438,                0.85687,             0.00078682,             0.00078682,             0.00078682
                     18,                0.51374,                0.47207,                0.92501,                0.97256,                0.98734,                0.99272,                0.92148,                0.42063,                0.45996,                0.86197,             0.00073181,             0.00073181,             0.00073181
                     19,                0.48958,                 0.4528,                0.89719,                0.95162,                      1,                0.98732,                0.91131,                0.45185,                0.45193,                0.86359,              0.0006768,              0.0006768,              0.0006768
                     20,                0.46233,                0.43616,                0.88773,                0.95126,                      1,                0.99074,                0.91621,                0.39014,                0.41685,                0.84686,             0.00062179,             0.00062179,             0.00062179
                     21,                0.37128,                 0.4235,                 0.8196,                0.95177,                0.99925,                0.99279,                0.93318,                0.37825,                0.40975,                0.84218,             0.00056678,             0.00056678,             0.00056678
                     22,                 0.3394,                0.39613,                0.82298,                0.95177,                0.99918,                0.99316,                0.93519,                0.39579,                 0.3908,                0.85346,             0.00051177,             0.00051177,             0.00051177
                     23,                0.34041,                0.37219,                0.81273,                0.95148,                      1,                0.99252,                 0.9419,                0.36131,                0.37403,                0.84039,             0.00045676,             0.00045676,             0.00045676
                     24,                0.33777,                 0.3682,                0.82563,                0.95151,                      1,                0.98443,                0.93098,                0.35781,                0.38216,                0.84351,             0.00040175,             0.00040175,             0.00040175
                     25,                  0.348,                0.36969,                0.82235,                0.95133,                      1,                0.98079,                0.92194,                0.38314,                0.39025,                0.84234,             0.00034674,             0.00034674,             0.00034674
                     26,                0.34201,                0.35212,                0.82013,                0.95151,                      1,                0.98657,                0.92676,                0.35566,                0.36616,                0.84301,             0.00029172,             0.00029172,             0.00029172
                     27,                0.31872,                0.33279,                0.81408,                0.95154,                      1,                0.97972,                0.92335,                0.34728,                 0.3551,                0.83668,             0.00023671,             0.00023671,             0.00023671
                     28,                0.31054,                0.32796,                0.82316,                0.95132,                      1,                0.98826,                0.94108,                0.34408,                0.34115,                0.83659,              0.0001817,              0.0001817,              0.0001817
                     29,                0.28063,                0.31108,                0.81288,                0.95126,                      1,                0.98622,                0.94382,                0.32987,                0.33473,                0.83286,             0.00012669,             0.00012669,             0.00012669
                     30,                0.28317,                0.30918,                 0.7958,                0.95126,                      1,                0.98787,                0.94521,                0.31951,                0.33487,                0.83262,             7.1681e-05,             7.1681e-05,             7.1681e-05
